||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_markov.jl
DATETIME
2025-05-01T10:17:16.872
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.NoSimulation(), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Re-Run - NoCS (2h)/Run_MC-SDDP_custom_model_444444/MC-SDDP.log", false, false, false, 444444, "MC-SDDP: 100 nodes, custom_model", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 11901
  state variables : 4
  scenarios       : 6.68857e+229
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.Historical{String, Dict{String, Float64}}
subproblem structure
  VariableRef                                  : [142, 142]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [138, 138]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [129, 130]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
-------------------------------------------------------------------
         1   2.206454e+09  7.974376e+05  2.976600e+01     10482   1
         2   9.424601e+08  3.841715e+06  3.561800e+01     20968   1
         3   1.073884e+09  3.904929e+06  3.891200e+01     31200   1
         4   4.964626e+08  4.053320e+06  4.214500e+01     41642   1
         5   6.061188e+08  1.060067e+07  4.538800e+01     52025   1
         6   1.016421e+09  1.475205e+07  4.853900e+01     62425   1
         7   7.794586e+08  2.669942e+07  5.216500e+01     72948   1
         8   5.155185e+08  2.957035e+07  5.523300e+01     83203   1
         9   4.675833e+08  3.351572e+07  5.830600e+01     93718   1
        10   3.757702e+08  4.450348e+07  6.137800e+01    104138   1
        11   2.494741e+08  4.751246e+07  6.569100e+01    114175   1
        12   2.872074e+08  4.858879e+07  6.860600e+01    124944   1
        13   4.343076e+08  4.890542e+07  7.115200e+01    135518   1
        14   2.070739e+08  4.954087e+07  7.406800e+01    145849   1
        15   2.982760e+08  5.113228e+07  7.758600e+01    156221   1
        16   8.139068e+08  5.162591e+07  8.044600e+01    166590   1
        17   6.922724e+08  5.295799e+07  8.354600e+01    176848   1
        18   8.002467e+08  5.362631e+07  8.625700e+01    187154   1
        19   4.430471e+08  5.411675e+07  8.881000e+01    197533   1
        20   3.963001e+08  5.462029e+07  9.221400e+01    208073   1
        21   1.698143e+08  5.463025e+07  9.495100e+01    218639   1
        22   6.611036e+08  5.756585e+07  9.867800e+01    228736   1
        23   4.233229e+08  6.113809e+07  1.013600e+02    239255   1
        24   2.518087e+08  6.169071e+07  1.041240e+02    249718   1
        25   4.805061e+08  6.669493e+07  1.072350e+02    259991   1
        26   5.378968e+08  6.825763e+07  1.108890e+02    270231   1
        27   3.171760e+08  7.069193e+07  1.149870e+02    280679   1
        28   2.766499e+08  7.190879e+07  1.195740e+02    290935   1
        29   3.842736e+08  7.579523e+07  1.244940e+02    301363   1
        30   8.996000e+08  7.603862e+07  1.294640e+02    311819   1
        31   6.027736e+08  7.717444e+07  1.344860e+02    322104   1
        32   2.888627e+08  8.367120e+07  1.399930e+02    332724   1
        33   3.713286e+08  8.619764e+07  1.467810e+02    343335   1
        34   2.169190e+08  8.676142e+07  1.524920e+02    353675   1
        35   5.869794e+08  8.759801e+07  1.581430e+02    364073   1
        36   5.785386e+08  9.002228e+07  1.640000e+02    374610   1
        37   4.634367e+08  9.494508e+07  1.702540e+02    385241   1
        38   6.464526e+08  9.823386e+07  1.738770e+02    395397   1
        39   3.245427e+08  1.013053e+08  1.768640e+02    405830   1
        40   5.637142e+08  1.017594e+08  1.808080e+02    416184   1
        41   3.918486e+08  1.017609e+08  1.864120e+02    426890   1
        42   4.601134e+08  1.023410e+08  1.931750e+02    437002   1
        43   4.917934e+08  1.036821e+08  2.011020e+02    447300   1
        44   4.265685e+08  1.063420e+08  2.100960e+02    457956   1
        45   7.206846e+08  1.087373e+08  2.202820e+02    468645   1
        46   6.572518e+08  1.116820e+08  2.296600e+02    479156   1
        47   2.763586e+08  1.123188e+08  2.399870e+02    489941   1
        48   8.316345e+08  1.136615e+08  2.499370e+02    500158   1
        49   2.783907e+08  1.141458e+08  2.614840e+02    510536   1
        50   6.045298e+08  1.148712e+08  2.741570e+02    520883   1
        51   3.014348e+08  1.163544e+08  2.879680e+02    531384   1
        52   3.312138e+08  1.171706e+08  3.015460e+02    541657   1
        53   4.945303e+08  1.171797e+08  3.154950e+02    552031   1
        54   2.891188e+08  1.172708e+08  3.298190e+02    562495   1
        55   3.011434e+08  1.183531e+08  3.446240e+02    572891   1
        56   7.498830e+08  1.183965e+08  3.611110e+02    583364   1
        57   2.293375e+08  1.197559e+08  3.766170e+02    593795   1
        58   1.844489e+08  1.201812e+08  3.923530e+02    604264   1
        59   3.714555e+08  1.227091e+08  4.087320e+02    614893   1
        60   4.854263e+08  1.246017e+08  4.254770e+02    625742   1
        61   2.681126e+08  1.250630e+08  4.422200e+02    636540   1
        62   4.604930e+08  1.251449e+08  4.592580e+02    646934   1
        63   3.092179e+08  1.255512e+08  4.782180e+02    657600   1
        64   8.711047e+08  1.256014e+08  4.967030e+02    667602   1
        65   6.402454e+08  1.257697e+08  5.161880e+02    678024   1
        66   5.333320e+08  1.263534e+08  5.354460e+02    688354   1
        67   5.296787e+08  1.267282e+08  5.554170e+02    698573   1
        68   2.819479e+08  1.278898e+08  5.755690e+02    709356   1
        69   4.133339e+08  1.296379e+08  5.956300e+02    719997   1
        70   5.077974e+08  1.301714e+08  6.153060e+02    730217   1
        71   4.226810e+08  1.307618e+08  6.371650e+02    740799   1
        72   3.937966e+08  1.311669e+08  6.591680e+02    750949   1
        73   3.047941e+08  1.312184e+08  6.824980e+02    761429   1
        74   4.761431e+08  1.320297e+08  7.064740e+02    771925   1
        75   5.658635e+08  1.325773e+08  7.311010e+02    782490   1
        76   4.384610e+08  1.328235e+08  7.547350e+02    792741   1
        77   3.183722e+08  1.331078e+08  7.779030e+02    803113   1
        78   3.200475e+08  1.331649e+08  8.012080e+02    813206   1
        79   3.634535e+08  1.340795e+08  8.243060e+02    823681   1
        80   1.113235e+09  1.349976e+08  8.472410e+02    834094   1
        81   2.439320e+08  1.351730e+08  8.712390e+02    844796   1
        82   3.538471e+08  1.353179e+08  8.956190e+02    855262   1
        83   4.629216e+08  1.365980e+08  9.215700e+02    865853   1
        84   5.361243e+08  1.369246e+08  9.477490e+02    876220   1
        85   3.886798e+08  1.372248e+08  9.746370e+02    886473   1
        86   7.257349e+08  1.378678e+08  1.001770e+03    896690   1
        87   3.128325e+08  1.393273e+08  1.028739e+03    906870   1
        88   2.735386e+08  1.413022e+08  1.057692e+03    917395   1
        89   3.558739e+08  1.435570e+08  1.085743e+03    927653   1
        90   2.190091e+08  1.438845e+08  1.114918e+03    938098   1
        91   2.761615e+08  1.442152e+08  1.140597e+03    948179   1
        92   5.372618e+08  1.467640e+08  1.166314e+03    958679   1
        93   4.584925e+08  1.469134e+08  1.190926e+03    968755   1
        94   4.515286e+08  1.512587e+08  1.215615e+03    979063   1
        95   2.723561e+08  1.517413e+08  1.241658e+03    989648   1
        96   4.504208e+08  1.519178e+08  1.268993e+03   1000282   1
        97   5.114064e+08  1.519186e+08  1.295963e+03   1010612   1
        98   3.283509e+08  1.526906e+08  1.324445e+03   1021012   1
        99   3.542181e+08  1.529787e+08  1.354503e+03   1031689   1
       100   3.482103e+08  1.530601e+08  1.383619e+03   1042143   1
       101   8.850894e+08  1.530682e+08  1.415018e+03   1052359   1
       102   2.762653e+08  1.532135e+08  1.446823e+03   1062694   1
       103   3.421769e+08  1.536868e+08  1.480251e+03   1073228   1
       104   7.496593e+08  1.543992e+08  1.511896e+03   1083470   1
       105   4.797395e+08  1.547219e+08  1.544879e+03   1093739   1
       106   2.140154e+08  1.552346e+08  1.578263e+03   1103932   1
       107   2.549352e+08  1.555068e+08  1.612171e+03   1114416   1
       108   3.656046e+08  1.558691e+08  1.645745e+03   1124529   1
       109   2.968277e+08  1.562681e+08  1.680923e+03   1135168   1
       110   4.229163e+08  1.574183e+08  1.714864e+03   1145527   1
       111   4.758877e+08  1.587055e+08  1.747938e+03   1155943   1
       112   3.817542e+08  1.588280e+08  1.782567e+03   1166441   1
       113   5.279621e+08  1.600460e+08  1.815045e+03   1176701   1
       114   2.897988e+08  1.604013e+08  1.847047e+03   1186875   1
       115   5.656136e+08  1.607247e+08  1.879395e+03   1197091   1
       116   2.177382e+08  1.607355e+08  1.913339e+03   1207404   1
       117   3.340141e+08  1.610773e+08  1.947076e+03   1217469   1
       118   1.884616e+08  1.612861e+08  1.980924e+03   1227576   1
       119   2.783225e+08  1.616313e+08  2.016378e+03   1238057   1
       120   2.637774e+08  1.624806e+08  2.052938e+03   1248871   1
       121   3.029787e+08  1.624876e+08  2.088443e+03   1259423   1
       122   2.190041e+08  1.631378e+08  2.122124e+03   1269755   1
       123   2.182022e+08  1.636091e+08  2.157067e+03   1280319   1
       124   2.307268e+08  1.637570e+08  2.192076e+03   1290660   1
       125   3.630060e+08  1.642189e+08  2.225859e+03   1301066   1
       126   6.281422e+08  1.642749e+08  2.258415e+03   1311164   1
       127   5.594891e+08  1.662113e+08  2.291404e+03   1321382   1
       128   1.519190e+08  1.674106e+08  2.324436e+03   1331535   1
       129   2.727345e+08  1.691436e+08  2.356271e+03   1341884   1
       130   3.378595e+08  1.692639e+08  2.391890e+03   1352467   1
       131   4.290473e+08  1.692737e+08  2.425399e+03   1362856   1
       132   6.739247e+08  1.712587e+08  2.459229e+03   1373309   1
       133   6.962138e+08  1.712587e+08  2.492135e+03   1383629   1
       134   2.989675e+08  1.713485e+08  2.525822e+03   1394282   1
       135   1.901111e+08  1.713617e+08  2.560591e+03   1404706   1
       136   3.143050e+08  1.724240e+08  2.592413e+03   1415033   1
       137   3.536704e+08  1.724498e+08  2.626413e+03   1425632   1
       138   2.709806e+08  1.725656e+08  2.659108e+03   1435708   1
       139   1.707697e+08  1.725769e+08  2.690006e+03   1445594   1
       140   3.606792e+08  1.725817e+08  2.724065e+03   1456192   1
       141   2.881150e+08  1.728086e+08  2.757605e+03   1466570   1
       142   3.189848e+08  1.728091e+08  2.790406e+03   1476750   1
       143   5.611077e+08  1.738470e+08  2.824766e+03   1487425   1
       144   2.694682e+08  1.738474e+08  2.858008e+03   1497613   1
       145   3.224039e+08  1.738922e+08  2.890985e+03   1508010   1
       146   4.965438e+08  1.739443e+08  2.925429e+03   1518297   1
       147   4.576040e+08  1.745601e+08  2.958846e+03   1528896   1
       148   2.903399e+08  1.746370e+08  2.992029e+03   1539249   1
       149   3.859803e+08  1.746785e+08  3.025553e+03   1549577   1
       150   4.646065e+08  1.746902e+08  3.058245e+03   1560015   1
       151   4.406884e+08  1.750944e+08  3.090931e+03   1570321   1
       152   3.449531e+08  1.751811e+08  3.124974e+03   1580899   1
       153   3.162397e+08  1.765209e+08  3.158311e+03   1591476   1
       154   2.600187e+08  1.772007e+08  3.191025e+03   1601966   1
       155   2.001703e+08  1.787029e+08  3.223280e+03   1612154   1
       156   5.410125e+08  1.787077e+08  3.255777e+03   1622474   1
       157   7.202770e+08  1.792950e+08  3.288560e+03   1633031   1
       158   3.914678e+08  1.799677e+08  3.323661e+03   1643607   1
       159   2.692833e+08  1.805992e+08  3.354381e+03   1653557   1
       160   2.297467e+08  1.805998e+08  3.387314e+03   1664088   1
       161   5.053218e+08  1.811156e+08  3.420071e+03   1674635   1
       162   4.397654e+08  1.811968e+08  3.452053e+03   1684865   1
       163   2.275614e+08  1.816675e+08  3.485300e+03   1695424   1
       164   2.423716e+08  1.817103e+08  3.518560e+03   1705871   1
       165   5.832858e+08  1.817271e+08  3.550805e+03   1716055   1
