||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_markov.jl
DATETIME
2025-04-30T21:20:22.153
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.NoSimulation(), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Re-Run - NoCS (2h)/Run_MC-SDDP_lattice_55555/MC-SDDP.log", false, false, false, 55555, "MC-SDDP: 100 nodes, lattice", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 11901
  state variables : 4
  scenarios       : 6.68857e+229
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.InSampleMonteCarlo
subproblem structure
  VariableRef                                  : [142, 142]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [138, 138]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [129, 130]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
-------------------------------------------------------------------
         1   2.110511e+09  5.083378e+05  2.904100e+01     10629   1
         2   1.570326e+09  7.319363e+05  3.387700e+01     20965   1
         3   1.039232e+09  1.105876e+06  3.745300e+01     31170   1
         4   5.305343e+08  1.775265e+06  4.067000e+01     41665   1
         5   8.617760e+08  1.776531e+06  4.357600e+01     52120   1
         6   5.803032e+08  4.275084e+06  4.655100e+01     62755   1
         7   4.337632e+08  1.911700e+07  4.992300e+01     73419   1
         8   6.055876e+08  2.038830e+07  5.273400e+01     83368   1
         9   4.183949e+08  2.068527e+07  5.673200e+01     93613   1
        10   4.872629e+08  3.931096e+07  5.940300e+01    103995   1
        11   3.453139e+08  4.225807e+07  6.226800e+01    114472   1
        12   5.071512e+08  4.234414e+07  6.513900e+01    124620   1
        13   9.295648e+08  4.285544e+07  6.772300e+01    135056   1
        14   1.020054e+09  4.405249e+07  7.075200e+01    145291   1
        15   1.932027e+08  4.542257e+07  7.375500e+01    155387   1
        16   2.318575e+08  4.572912e+07  7.658700e+01    165686   1
        17   3.858106e+08  5.778019e+07  7.915900e+01    176402   1
        18   6.015432e+08  5.915891e+07  8.166600e+01    186451   1
        19   2.615380e+08  6.500799e+07  8.435800e+01    196927   1
        20   2.378299e+08  6.547540e+07  8.858600e+01    207622   1
        21   3.728833e+08  7.175375e+07  9.109400e+01    218026   1
        22   1.574039e+08  7.179428e+07  9.349600e+01    227826   1
        23   4.042452e+08  7.183062e+07  9.606600e+01    238072   1
        24   1.798017e+08  7.401468e+07  9.869600e+01    248415   1
        25   4.653364e+08  7.812099e+07  1.017590e+02    259039   1
        26   3.724649e+08  8.124541e+07  1.053810e+02    269472   1
        27   2.260409e+08  8.214946e+07  1.097120e+02    280081   1
        28   3.139858e+08  8.342783e+07  1.144050e+02    290455   1
        29   5.481158e+08  8.396033e+07  1.194410e+02    300681   1
        30   4.104468e+08  8.673631e+07  1.248750e+02    311318   1
        31   1.093323e+09  8.832071e+07  1.298710e+02    321728   1
        32   3.832230e+08  9.012000e+07  1.353720e+02    332258   1
        33   4.726129e+08  9.537985e+07  1.396450e+02    342702   1
        34   3.631299e+08  9.770242e+07  1.444470e+02    353460   1
        35   2.480905e+08  1.014688e+08  1.497560e+02    364026   1
        36   8.082595e+08  1.014692e+08  1.554370e+02    374324   1
        37   1.749211e+08  1.015658e+08  1.619910e+02    384955   1
        38   2.868396e+08  1.028606e+08  1.661590e+02    395385   1
        39   1.908264e+08  1.035070e+08  1.689970e+02    405820   1
        40   3.098506e+08  1.044989e+08  1.726690e+02    416352   1
        41   6.104427e+08  1.104211e+08  1.778420e+02    426645   1
        42   4.414348e+08  1.105588e+08  1.847460e+02    437224   1
        43   5.205900e+08  1.140636e+08  1.933440e+02    447753   1
        44   2.414844e+08  1.163988e+08  2.023200e+02    458420   1
        45   5.206977e+08  1.179595e+08  2.118240e+02    468598   1
        46   4.188189e+08  1.221111e+08  2.229810e+02    479152   1
        47   3.385412e+08  1.228737e+08  2.350170e+02    489694   1
        48   2.899474e+08  1.229027e+08  2.467690e+02    499942   1
        49   5.764392e+08  1.237250e+08  2.581420e+02    510428   1
        50   1.644540e+08  1.252939e+08  2.695640e+02    520825   1
        51   3.073302e+08  1.258188e+08  2.809520e+02    531397   1
        52   3.134104e+08  1.264613e+08  2.930330e+02    541852   1
        53   2.865546e+08  1.270919e+08  3.062120e+02    552379   1
        54   4.207066e+08  1.297056e+08  3.199290e+02    562626   1
        55   3.721786e+08  1.304169e+08  3.362430e+02    573208   1
        56   5.340077e+08  1.316403e+08  3.519430e+02    583809   1
        57   2.032093e+08  1.323742e+08  3.674970e+02    594370   1
        58   6.229793e+08  1.330287e+08  3.834670e+02    604682   1
        59   5.676405e+08  1.342131e+08  4.006900e+02    615345   1
        60   3.125972e+08  1.352690e+08  4.178690e+02    625743   1
        61   2.017366e+08  1.353550e+08  4.350980e+02    635979   1
        62   3.250997e+08  1.358595e+08  4.529830e+02    646394   1
        63   1.718501e+08  1.368912e+08  4.710620e+02    656449   1
        64   2.774012e+08  1.398256e+08  4.893020e+02    666939   1
        65   2.409796e+08  1.400117e+08  5.087160e+02    677558   1
        66   6.580934e+08  1.400971e+08  5.297570e+02    687963   1
        67   5.933101e+08  1.400998e+08  5.497930e+02    698037   1
        68   2.750302e+08  1.434821e+08  5.719640e+02    708577   1
        69   4.452422e+08  1.451248e+08  5.933860e+02    718925   1
        70   3.671147e+08  1.464958e+08  6.145360e+02    729560   1
        71   2.904413e+08  1.470192e+08  6.349710e+02    739840   1
        72   4.298065e+08  1.472275e+08  6.566670e+02    750354   1
        73   2.619793e+08  1.510802e+08  6.790000e+02    761042   1
        74   3.481530e+08  1.518751e+08  7.003820e+02    771424   1
        75   2.245031e+08  1.529593e+08  7.217300e+02    781946   1
        76   2.533826e+08  1.530082e+08  7.433070e+02    792660   1
        77   2.362634e+08  1.531008e+08  7.646900e+02    803215   1
        78   1.889527e+08  1.536857e+08  7.874620e+02    813593   1
        79   4.635951e+08  1.541486e+08  8.095000e+02    824038   1
