||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_linearized.jl
DATETIME
2025-04-04T05:17:37.434
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.Simulation(SDDP.InSampleMonteCarlo(0, false, true, SDDP.var"#155#158"{SDDP.var"#156#159"}(SDDP.var"#156#159"(), Core.Box(0)), nothing), 2000, 11111), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Final Run (2h) - NoCS/Run_fitted_model_55555/LinearizedSDDP.log", false, false, false, 55555, "", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 120
  state variables : 8
  scenarios       : 1.00000e+238
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.InSampleMonteCarlo
subproblem structure
  VariableRef                                  : [170, 174]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.EqualTo{Float64}     : [1, 1]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [157, 157]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [148, 149]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
-------------------------------------------------------------------
         1   2.617121e+09  2.450955e+05  2.438000e+00     12021   1
         2   1.606261e+09  2.450955e+05  4.736000e+00     24042   1
         3   1.140836e+09  2.450955e+05  7.158000e+00     36063   1
         4   1.141378e+09  2.450955e+05  9.534000e+00     48084   1
         5   7.280736e+08  1.104474e+06  1.186300e+01     60105   1
         6   6.896715e+08  1.496937e+06  1.423800e+01     72126   1
         7   1.103783e+09  1.843237e+06  1.659800e+01     84147   1
         8   6.869370e+08  2.451086e+06  1.895800e+01     96168   1
         9   6.982445e+08  3.399737e+06  2.133500e+01    108189   1
        10   6.154003e+08  4.229348e+06  2.367900e+01    120210   1
        11   6.784516e+08  4.750924e+06  2.603800e+01    132231   1
        12   4.192241e+08  5.299645e+06  2.835100e+01    144252   1
        13   5.435371e+08  5.726935e+06  3.067900e+01    156273   1
        14   5.087902e+08  7.509503e+06  3.305400e+01    168294   1
        15   3.756309e+08  2.211531e+07  3.541500e+01    180315   1
        16   3.892741e+08  2.247044e+07  3.772700e+01    192336   1
        17   3.038449e+08  3.370603e+07  4.007200e+01    204357   1
        18   1.116304e+09  3.506505e+07  4.238400e+01    216378   1
        19   5.665066e+08  3.681709e+07  4.474400e+01    228399   1
        20   6.492608e+08  4.173586e+07  4.711900e+01    240420   1
        21   7.900644e+08  4.242874e+07  4.949500e+01    252441   1
        22   3.990973e+08  4.283959e+07  5.190200e+01    264462   1
        23   2.240638e+08  4.439417e+07  5.426200e+01    276483   1
        24   5.267666e+08  4.458333e+07  5.665300e+01    288504   1
        25   2.543362e+08  5.003366e+07  5.901200e+01    300525   1
