(1,21113.17)
(2,31014.48)
(3,38723.63)
(4,41194.66)
(5,40023.32)
(6,36131.57)
(7,31190.07)
(8,26351.42)
(9,21074.55)
(10,16101.36)
(11,13617.59)
(12,15187.3)
(13,20466.5)
(14,27159.1)
(15,32491.94)
(16,34744.71)
(17,33573.41)
(18,30164.45)
(19,25837.14)
(20,21482.1)
(21,16945.19)
(22,12997.25)
(23,10989.0)
(24,12998.01)
(25,18259.59)
(26,25178.65)
(27,31131.35)
(28,33642.21)
(29,32896.46)
(30,29502.43)
(31,25295.59)
(32,21314.03)
(33,16663.05)
(34,12461.75)
(35,10009.62)
(36,11954.88)
(37,17223.56)
(38,23702.21)
(39,29860.06)
(40,33169.05)
(41,33165.5)
(42,30576.79)
(43,26646.11)
(44,22050.57)
(45,17006.77)
(46,12170.15)
(47,9574.71)
(48,10936.92)
(49,16415.11)
(50,22518.98)
(51,29084.97)
(52,32533.34)
(53,32037.2)
(54,29237.74)
(55,25251.92)
(56,20486.23)
(57,15420.53)
(58,10747.21)
(59,8084.06)
(60,9396.24)
(61,14573.83)
(62,20998.69)
(63,27615.09)
(64,30908.21)
(65,30688.1)
(66,27904.22)
(67,24161.32)
(68,20200.17)
(69,15675.86)
(70,11228.63)
(71,8740.06)
(72,10861.48)
(73,16403.12)
(74,22714.04)
(75,29058.49)
(76,32159.46)
(77,31415.59)
(78,28199.96)
(79,24095.07)
(80,19836.18)
(81,15224.05)
(82,10840.74)
(83,8442.43)
(84,10203.52)
(85,15963.66)
(86,23061.44)
(87,28780.37)
(88,31794.18)
(89,30835.83)
(90,27680.02)
(91,23870.96)
(92,19508.12)
(93,14848.84)
(94,10687.94)
(95,8467.28)
(96,9894.84)
(97,14464.66)
(98,20602.9)
(99,27453.28)
(100,31061.12)
(101,30950.98)
(102,28283.64)
(103,24432.56)
(104,19987.87)
(105,15244.13)
(106,10931.19)
(107,8661.81)
(108,10361.97)
(109,15883.93)
(110,21836.56)
(111,28881.82)
(112,33282.09)
(113,33063.68)
(114,29991.83)
(115,25695.94)
(116,20845.28)
(117,15496.61)
(118,10332.3)
(119,5801.77)
(120,6767.43)
###################
(1,21113.17)
(2,22468.7)
(3,23146.5)
(4,21643.58)
(5,18845.75)
(6,13510.79)
(7,7846.8)
(8,4050.21)
(9,992.52)
(10,0.0)
(11,0.0)
(12,0.0)
(13,543.81)
(14,3043.25)
(15,4640.16)
(16,5030.19)
(17,2792.21)
(18,1675.84)
(19,590.45)
(20,0.0)
(21,0.0)
(22,0.0)
(23,0.0)
(24,0.0)
(25,569.81)
(26,3551.82)
(27,4827.03)
(28,5164.26)
(29,5219.43)
(30,2533.4)
(31,0.0)
(32,0.0)
(33,0.0)
(34,0.0)
(35,0.0)
(36,0.0)
(37,0.0)
(38,1850.12)
(39,4181.92)
(40,5758.23)
(41,6500.24)
(42,6333.31)
(43,3802.75)
(44,1137.17)
(45,0.0)
(46,0.0)
(47,0.0)
(48,0.0)
(49,915.04)
(50,2697.88)
(51,5400.0)
(52,7206.96)
(53,7437.29)
(54,6069.16)
(55,3599.64)
(56,743.45)
(57,0.0)
(58,0.0)
(59,0.0)
(60,0.0)
(61,0.0)
(62,1720.59)
(63,3782.75)
(64,4729.36)
(65,4890.76)
(66,3844.9)
(67,1639.29)
(68,168.22)
(69,0.0)
(70,0.0)
(71,0.0)
(72,0.0)
(73,682.06)
(74,3245.03)
(75,4280.95)
(76,6270.1)
(77,6627.42)
(78,4874.6)
(79,3091.68)
(80,1458.6)
(81,0.0)
(82,0.0)
(83,0.0)
(84,0.0)
(85,728.78)
(86,2663.76)
(87,4162.28)
(88,6190.23)
(89,5606.4)
(90,4421.01)
(91,2950.01)
(92,771.83)
(93,0.0)
(94,0.0)
(95,0.0)
(96,0.0)
(97,0.0)
(98,482.58)
(99,3304.86)
(100,5838.37)
(101,6503.61)
(102,5459.81)
(103,3995.61)
(104,2028.19)
(105,467.95)
(106,0.0)
(107,0.0)
(108,0.0)
(109,1410.66)
(110,4746.08)
(111,8982.75)
(112,12345.49)
(113,12713.49)
(114,11213.88)
(115,8622.02)
(116,6004.98)
(117,2638.9)
(118,0.0)
(119,0.0)
(120,0.0)
###################
(1,21113.17)
(2,41810.11)
(3,51806.1)
(4,51806.1)
(5,51806.1)
(6,50810.53)
(7,47601.5)
(8,43448.18)
(9,38574.28)
(10,33988.41)
(11,32967.82)
(12,37536.18)
(13,46595.46)
(14,51806.1)
(15,51806.1)
(16,51806.1)
(17,51806.1)
(18,50595.35)
(19,47067.76)
(20,42756.55)
(21,37917.18)
(22,32795.42)
(23,30970.05)
(24,36090.57)
(25,44631.83)
(26,51806.1)
(27,51806.1)
(28,51806.1)
(29,51806.1)
(30,50414.06)
(31,47111.79)
(32,42840.14)
(33,37550.71)
(34,32357.92)
(35,30612.1)
(36,35137.1)
(37,43909.08)
(38,51806.1)
(39,51806.1)
(40,51806.1)
(41,51806.1)
(42,49991.06)
(43,46283.89)
(44,41630.18)
(45,36384.96)
(46,31580.77)
(47,29751.57)
(48,33640.09)
(49,42877.61)
(50,49743.79)
(51,51806.1)
(52,51806.1)
(53,51806.1)
(54,49790.55)
(55,46016.24)
(56,41293.87)
(57,35664.19)
(58,30919.52)
(59,27766.4)
(60,30917.55)
(61,38923.65)
(62,46294.85)
(63,51806.1)
(64,51806.1)
(65,51806.1)
(66,49628.55)
(67,45861.36)
(68,41282.19)
(69,35889.7)
(70,31374.5)
(71,29136.28)
(72,33834.07)
(73,42568.88)
(74,48189.54)
(75,51806.1)
(76,51806.1)
(77,51806.1)
(78,49598.72)
(79,45865.7)
(80,41054.86)
(81,35405.84)
(82,30507.3)
(83,27301.77)
(84,31298.78)
(85,41015.05)
(86,51806.1)
(87,51806.1)
(88,51806.1)
(89,51806.1)
(90,50191.12)
(91,46698.71)
(92,42292.6)
(93,37003.71)
(94,32260.71)
(95,29936.51)
(96,33149.71)
