||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_markov.jl
DATETIME
2025-04-29T02:23:59.889
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.NoSimulation(), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Re-Run (2h)/Run_MC-SDDP_fitted_model_33333/MC-SDDP.log", false, false, false, 33333, "MC-SDDP: 100 nodes, fitted_model", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 11901
  state variables : 4
  scenarios       : 6.68857e+229
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.Historical{String, Dict{String, Float64}}
subproblem structure
  VariableRef                                  : [142, 142]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [138, 138]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [129, 130]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
-------------------------------------------------------------------
         1   1.486783e+09  7.288464e+05  6.160000e+00     10317   1
         2   1.190409e+09  8.503253e+05  9.734000e+00     20876   1
         3   1.246953e+09  9.283176e+05  1.312200e+01     31200   1
         4   5.853888e+08  2.271701e+06  1.630200e+01     41546   1
         5   6.090779e+08  3.440759e+06  1.945100e+01     52029   1
         6   5.809414e+08  3.633862e+06  2.271900e+01     62542   1
         7   6.107302e+08  3.735257e+06  2.625400e+01     72928   1
         8   1.076778e+09  4.005593e+06  2.920200e+01     83235   1
         9   3.299299e+08  2.659827e+07  3.515300e+01     93806   1
        10   4.734536e+08  3.525169e+07  3.838700e+01    104582   1
        11   3.857818e+08  3.662553e+07  4.144700e+01    115287   1
        12   5.438164e+08  4.393459e+07  4.444000e+01    125867   1
        13   3.638391e+08  4.946060e+07  4.748800e+01    136256   1
        14   6.275708e+08  5.595686e+07  5.062700e+01    146915   1
        15   3.811888e+08  5.618686e+07  5.358800e+01    157352   1
        16   2.566559e+08  5.839298e+07  5.651000e+01    167677   1
        17   3.324981e+08  5.927322e+07  5.978500e+01    178269   1
        18   2.882983e+08  6.116173e+07  6.281300e+01    188768   1
        19   3.604117e+08  6.150041e+07  6.580700e+01    199174   1
        20   2.189619e+08  6.298076e+07  6.886600e+01    209839   1
        21   4.313938e+08  6.432081e+07  7.177300e+01    220174   1
        22   2.964707e+08  6.432298e+07  7.456000e+01    230224   1
        23   2.776707e+08  6.495091e+07  7.766000e+01    240943   1
        24   6.257145e+08  7.212997e+07  8.061700e+01    251363   1
        25   2.444018e+08  7.418628e+07  8.355300e+01    261557   1
        26   2.593073e+08  7.510535e+07  8.659900e+01    272132   1
        27   2.528105e+08  7.664815e+07  8.966000e+01    282511   1
        28   4.736493e+08  7.730585e+07  9.280000e+01    292919   1
        29   1.799023e+08  7.740928e+07  9.580300e+01    303002   1
        30   2.911194e+08  7.742377e+07  9.903200e+01    313534   1
        31   3.434768e+08  7.757106e+07  1.021220e+02    323846   1
        32   2.410245e+08  7.786437e+07  1.051400e+02    334131   1
        33   3.125455e+08  7.880352e+07  1.082460e+02    344664   1
        34   2.835831e+08  8.621632e+07  1.115530e+02    355359   1
        35   5.761242e+08  8.732800e+07  1.148670e+02    365762   1
        36   2.773188e+08  9.234550e+07  1.181640e+02    376357   1
        37   2.460182e+08  9.452789e+07  1.213640e+02    386977   1
        38   4.294715e+08  9.798644e+07  1.245640e+02    397351   1
        39   2.456052e+08  9.964853e+07  1.276390e+02    407467   1
        40   2.123979e+08  1.041423e+08  1.336790e+02    417772   1
        41   1.990533e+08  1.042292e+08  1.367480e+02    428315   1
        42   2.944039e+08  1.045779e+08  1.398640e+02    438459   1
        43   2.032098e+08  1.053294e+08  1.430280e+02    448760   1
        44   3.425724e+08  1.054372e+08  1.460410e+02    459122   1
        45   2.263530e+08  1.055644e+08  1.489930e+02    469492   1
        46   2.349746e+08  1.084594e+08  1.519560e+02    479540   1
        47   1.807240e+08  1.086324e+08  1.550350e+02    489879   1
        48   4.422676e+08  1.121820e+08  1.580990e+02    500180   1
        49   2.402466e+08  1.124810e+08  1.612050e+02    510449   1
        50   3.315775e+08  1.196325e+08  1.643700e+02    520970   1
        51   2.296600e+08  1.201306e+08  1.674600e+02    531295   1
        52   2.827800e+08  1.208600e+08  1.705600e+02    541679   1
        53   2.685777e+08  1.243662e+08  1.736640e+02    552124   1
        54   1.476253e+08  1.256108e+08  1.767400e+02    562330   1
        55   4.894640e+08  1.273015e+08  1.798190e+02    572746   1
        56   2.781797e+08  1.280540e+08  1.830180e+02    583302   1
        57   2.424274e+08  1.296968e+08  1.863180e+02    593865   1
        58   3.547241e+08  1.297807e+08  1.894870e+02    604387   1
        59   5.067031e+08  1.298309e+08  1.926720e+02    614601   1
        60   2.307356e+08  1.298310e+08  1.959850e+02    625374   1
