||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_markov.jl
DATETIME
2025-04-28T00:24:43.631
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.NoSimulation(), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Re-Run (2h)/Run_MC-SDDP_lattice_11111/MC-SDDP.log", false, false, false, 11111, "MC-SDDP: 100 nodes, lattice", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 11901
  state variables : 4
  scenarios       : 6.68857e+229
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.InSampleMonteCarlo
subproblem structure
  VariableRef                                  : [142, 142]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [138, 138]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [129, 130]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
-------------------------------------------------------------------
         1   1.626538e+09  8.816023e+05  9.823000e+00     10250   1
         2   1.104744e+09  1.757232e+06  1.365900e+01     20902   1
         3   1.040908e+09  1.869079e+06  1.707800e+01     31540   1
         4   5.034224e+08  1.427175e+07  2.062000e+01     41672   1
         5   8.197149e+08  1.728680e+07  2.353000e+01     51696   1
         6   3.807242e+08  1.940052e+07  2.660900e+01     62109   1
         7   4.751485e+08  3.336289e+07  2.978700e+01     72560   1
         8   6.236591e+08  3.607924e+07  3.259600e+01     82666   1
         9   6.422396e+08  3.768001e+07  3.562900e+01     92883   1
        10   3.915993e+08  4.152266e+07  3.857400e+01    103314   1
        11   8.126757e+08  4.333439e+07  4.153700e+01    113741   1
        12   4.754969e+08  4.344840e+07  4.443200e+01    124032   1
        13   1.797815e+08  4.628417e+07  4.730400e+01    134484   1
        14   7.878830e+08  5.843157e+07  5.039800e+01    144995   1
        15   3.552468e+08  6.188399e+07  5.346200e+01    155329   1
        16   4.704442e+08  6.938220e+07  5.645100e+01    165880   1
        17   3.423345e+08  7.355696e+07  5.940200e+01    176058   1
        18   3.053743e+08  7.483210e+07  6.257500e+01    186686   1
        19   2.648919e+08  7.581259e+07  6.542200e+01    197349   1
        20   3.391589e+08  7.713066e+07  6.842300e+01    207829   1
        21   1.889770e+08  7.871776e+07  7.150100e+01    217946   1
        22   1.915393e+08  8.141291e+07  7.461400e+01    228354   1
        23   7.635128e+08  8.144929e+07  7.759700e+01    238460   1
        24   4.799881e+08  8.191033e+07  8.077100e+01    249143   1
        25   1.658434e+08  8.513820e+07  8.367600e+01    259761   1
        26   9.987885e+08  8.559088e+07  8.656600e+01    270052   1
        27   4.711250e+08  8.642230e+07  8.940200e+01    280302   1
        28   2.144745e+08  8.671769e+07  9.255300e+01    290726   1
        29   4.435547e+08  8.789254e+07  9.573000e+01    301408   1
        30   5.089536e+08  8.933171e+07  9.837400e+01    311435   1
        31   1.831297e+08  8.956277e+07  1.014450e+02    321805   1
        32   4.208444e+08  9.026730e+07  1.045570e+02    331952   1
        33   2.257397e+08  9.037089e+07  1.073650e+02    342314   1
        34   2.236515e+08  9.066316e+07  1.105310e+02    352796   1
        35   4.777811e+08  9.140713e+07  1.135780e+02    362892   1
        36   1.937268e+08  9.149381e+07  1.165940e+02    373405   1
        37   1.979650e+08  9.463134e+07  1.198640e+02    383919   1
        38   3.997116e+08  9.854550e+07  1.229660e+02    394301   1
        39   7.837222e+08  1.052653e+08  1.257160e+02    404401   1
        40   7.360364e+08  1.064579e+08  1.288810e+02    414836   1
        41   3.670619e+08  1.094454e+08  1.320160e+02    425227   1
        42   5.618362e+08  1.099588e+08  1.350090e+02    435617   1
        43   1.788816e+08  1.101614e+08  1.382060e+02    446099   1
        44   3.497835e+08  1.109414e+08  1.413530e+02    456722   1
        45   7.536437e+08  1.146916e+08  1.441990e+02    466664   1
        46   2.355058e+08  1.164651e+08  1.472600e+02    476670   1
        47   3.777092e+08  1.188320e+08  1.504770e+02    486992   1
        48   5.142906e+08  1.192959e+08  1.534110e+02    497447   1
        49   3.337229e+08  1.217978e+08  1.566500e+02    507803   1
        50   8.948711e+08  1.223682e+08  1.597650e+02    517885   1
        51   3.438779e+08  1.229356e+08  1.627640e+02    528510   1
        52   5.618180e+08  1.244104e+08  1.659880e+02    539109   1
