||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_linearized.jl
DATETIME
2025-04-01T02:07:28.700
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.Simulation(SDDP.InSampleMonteCarlo(0, false, true, SDDP.var"#155#158"{SDDP.var"#156#159"}(SDDP.var"#156#159"(), Core.Box(0)), nothing), 2000, 11111), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Final Run (2h)/Run_shapiro_model_444444/LinearizedSDDP.log", false, false, false, 444444, "", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 120
  state variables : 8
  scenarios       : 1.00000e+238
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.InSampleMonteCarlo
subproblem structure
  VariableRef                                  : [170, 174]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.EqualTo{Float64}     : [1, 1]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [157, 157]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [148, 149]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
-------------------------------------------------------------------
         1   2.737213e+09  2.450955e+05  2.234000e+00     12021   1
         2   1.313517e+09  2.450955e+05  4.390000e+00     24042   1
         3   1.250179e+09  3.627666e+05  6.609000e+00     36063   1
         4   6.805958e+08  1.955958e+06  8.814000e+00     48084   1
         5   9.390173e+08  2.784050e+06  1.103200e+01     60105   1
         6   1.066651e+09  3.470122e+06  1.325100e+01     72126   1
         7   1.074729e+09  3.649497e+06  1.547000e+01     84147   1
         8   7.518717e+08  4.188797e+06  1.767300e+01     96168   1
         9   5.315104e+08  4.653435e+06  1.992200e+01    108189   1
        10   4.196653e+08  6.356028e+06  2.214200e+01    120210   1
        11   4.824808e+08  7.219901e+06  2.434500e+01    132231   1
        12   3.956254e+08  7.244230e+06  2.656400e+01    144252   1
        13   5.131162e+08  2.070039e+07  2.878300e+01    156273   1
        14   2.663487e+08  2.347093e+07  3.095400e+01    168294   1
        15   4.595879e+08  2.381142e+07  3.318900e+01    180315   1
        16   6.656371e+08  2.458098e+07  3.540900e+01    192336   1
        17   6.550444e+08  2.627129e+07  3.761200e+01    204357   1
        18   6.929484e+08  2.726061e+07  3.981500e+01    216378   1
        19   4.014495e+08  2.756024e+07  4.197200e+01    228399   1
        20   3.656662e+08  4.537610e+07  4.412800e+01    240420   1
        21   1.872563e+08  4.991615e+07  4.629900e+01    252441   1
        22   7.326327e+08  5.093019e+07  4.848700e+01    264462   1
        23   4.276534e+08  5.137484e+07  5.067400e+01    276483   1
        24   2.513884e+08  5.454131e+07  5.281600e+01    288504   1
        25   4.355490e+08  5.511566e+07  5.500300e+01    300525   1
        26   6.917117e+08  5.521056e+07  5.720600e+01    312546   1
        27   2.401380e+08  5.603274e+07  5.942500e+01    324567   1
        28   3.045758e+08  5.652365e+07  6.162800e+01    336588   1
        29   3.019203e+08  5.688157e+07  6.381500e+01    348609   1
        30   8.110235e+08  5.720434e+07  6.600400e+01    360630   1
        31   6.878175e+08  6.371721e+07  6.817600e+01    372651   1
        32   3.999440e+08  6.371721e+07  7.033200e+01    384672   1
        33   3.565098e+08  6.563294e+07  7.253500e+01    396693   1
        34   2.145962e+08  6.835931e+07  7.470700e+01    408714   1
        35   5.918531e+08  6.892340e+07  7.691100e+01    420735   1
        36   5.223578e+08  6.914543e+07  7.911400e+01    432756   1
        37   5.148785e+08  7.109537e+07  8.133300e+01    444777   1
        38   5.496438e+08  7.152235e+07  8.355200e+01    456798   1
        39   3.582473e+08  7.211880e+07  8.580200e+01    468819   1
        40   5.826623e+08  7.265633e+07  8.802100e+01    480840   1
        41   3.711963e+08  7.268255e+07  9.024000e+01    492861   1
        42   5.090585e+08  7.358882e+07  9.244300e+01    504882   1
        43   4.536227e+08  7.389978e+07  9.464600e+01    516903   1
        44   4.260143e+08  7.860001e+07  9.686500e+01    528924   1
        45   5.921210e+08  8.101094e+07  9.914600e+01    540945   1
        46   5.518270e+08  8.105757e+07  1.013810e+02    552966   1
        47   2.360984e+08  8.141656e+07  1.035990e+02    564987   1
        48   7.545456e+08  8.148028e+07  1.058020e+02    577008   1
        49   2.475477e+08  8.307140e+07  1.079900e+02    589029   1
        50   4.589116e+08  8.500906e+07  1.102240e+02    601050   1
        51   2.670706e+08  8.571633e+07  1.124590e+02    613071   1
        52   2.569447e+08  8.819708e+07  1.146620e+02    625092   1
        53   4.897753e+08  8.868107e+07  1.168650e+02    637113   1
        54   2.490903e+08  9.071027e+07  1.190680e+02    649134   1
        55   3.404705e+08  9.111151e+07  1.212870e+02    661155   1
        56   5.830409e+08  9.218083e+07  1.235210e+02    673176   1
        57   2.165982e+08  9.271163e+07  1.257560e+02    685197   1
        58   1.861246e+08  9.529646e+07  1.279590e+02    697218   1
        59   3.290863e+08  9.533345e+07  1.301780e+02    709239   1
        60   4.677146e+08  9.609006e+07  1.324280e+02    721260   1
        61   2.210044e+08  9.629456e+07  1.346630e+02    733281   1
        62   4.187818e+08  9.868486e+07  1.368500e+02    745302   1
        63   2.470798e+08  9.995502e+07  1.391010e+02    757323   1
